Participant ID,Full Name,Email Address,Phone Number,Department,Registration Status,Registration Date
TCET-GIVEAWAY-0001,TANVI TIWARI,tanvi.tiwari1@tcetmumbai.in,+91 8601414221,Information Technology,CONFIRMED,2026-08-25
TCET-GIVEAWAY-0002,ADVIK DAS,advik.das2@tcetmumbai.in,+91 7533427256,Mechanical Engineering,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0003,AYAAN AGARWAL,ayaan.agarwal3@tcetmumbai.in,+91 8822538964,External Guest / Attendee,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0004,KAVYA MUKHERJEE,kavya.mukherjee4@tcetmumbai.in,+91 9595616993,Electronics & Telecommunication,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0005,NAVYA GOEL,navya.goel5@tcetmumbai.in,+91 9614481235,Internet of Things,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0006,SANKET VERMA,sanket.verma6@tcetmumbai.in,+91 7126957405,Computer Engineering,CONFIRMED,2026-08-16
TCET-GIVEAWAY-0007,SAANVI GHOSH,saanvi.ghosh7@tcetmumbai.in,+91 7439062936,Electronics & Telecommunication,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0008,PRANAV SINGHAL,pranav.singhal8@tcetmumbai.in,+91 7399258240,Organizing Committee,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0009,DEV GUPTA,dev.gupta9@tcetmumbai.in,+91 7167916865,Organizing Committee,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0010,MAYANK KAPOOR,mayank.kapoor10@tcetmumbai.in,+91 7378252405,Artificial Intelligence & Data Science,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0011,SAMARTH DAS,samarth.das11@tcetmumbai.in,+91 8483871357,Civil Engineering,CONFIRMED,2026-08-20
TCET-GIVEAWAY-0012,GAURAV KUMAR,gaurav.kumar12@tcetmumbai.in,+91 7577079330,Organizing Committee,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0013,DEEPAK BOSE,deepak.bose13@tcetmumbai.in,+91 7159773534,External Guest / Attendee,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0014,CHIRAG MISHRA,chirag.mishra14@tcetmumbai.in,+91 7900510859,Electronics & Telecommunication,CONFIRMED,2026-08-21
TCET-GIVEAWAY-0015,SAI SEN,sai.sen15@tcetmumbai.in,+91 9916668902,Artificial Intelligence & Data Science,CONFIRMED,2026-08-23
TCET-GIVEAWAY-0016,VEDA KAMATH,veda.kamath16@tcetmumbai.in,+91 7864753732,Internet of Things,CONFIRMED,2026-08-18
TCET-GIVEAWAY-0017,KAUSTUBH SHAH,kaustubh.shah17@tcetmumbai.in,+91 9831446793,Civil Engineering,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0018,DHRUV GARG,dhruv.garg18@tcetmumbai.in,+91 9202007207,Information Technology,CONFIRMED,2026-08-19
TCET-GIVEAWAY-0019,ANANYA DUBEY,ananya.dubey19@tcetmumbai.in,+91 8724615528,Organizing Committee,CONFIRMED,2026-08-17
TCET-GIVEAWAY-0020,MANDAR BANSAL,mandar.bansal20@tcetmumbai.in,+91 7927484421,External Guest / Attendee,CONFIRMED,2026-08-23
